ticker,company_name,downloaded_files,known_period_end,known_publish_date,total_mb
SBER,ПАО Сбербанк,11,11,11,35.2
GAZP,ПАО Газпром,0,0,0,0.0
LKOH,ПАО ЛУКОЙЛ,18,2,0,36.6
ROSN,ПАО НК Роснефть,16,4,14,74.1
NVTK,ПАО НОВАТЭК,14,4,1,35.4
GMKN,ПАО ГМК Норильский никель,9,5,7,128.6
MOEX,ПАО Московская Биржа,18,18,16,15.7
TATN,ПАО Татнефть,0,0,0,0.0
VTBR,Банк ВТБ (ПАО),17,16,12,24.5
CHMF,ПАО Северсталь,0,0,0,0.0
PLZL,ПАО Полюс,18,5,15,86.3
MGNT,ПАО Магнит,16,12,14,0.4
ALRS,АК АЛРОСА (ПАО),9,5,9,75.1
AFLT,ПАО Аэрофлот,0,0,0,0.0
PHOR,ПАО ФосАгро,13,13,10,437.2
RUAL,МКПАО ОК РУСАЛ,27,27,0,106.9
SNGS,ПАО Сургутнефтегаз,15,15,0,66.6
YNDX,Yandex NV,18,18,16,17.2
