ticker,company_name,rows,parsed,avg_quality,docs_available,known_publish,known_period
SBER,ПАО Сбербанк,0.0,0.0,0.0,0.0,0.0,0.0
GAZP,ПАО Газпром,0.0,0.0,0.0,0.0,0.0,0.0
LKOH,ПАО ЛУКОЙЛ,18.0,18.0,0.919,18.0,0.0,2.0
ROSN,ПАО НК Роснефть,16.0,16.0,0.706,16.0,14.0,4.0
NVTK,ПАО НОВАТЭК,14.0,14.0,0.71,14.0,1.0,4.0
GMKN,ПАО ГМК Норильский никель,9.0,9.0,0.395,9.0,7.0,5.0
MOEX,ПАО Московская Биржа,18.0,18.0,0.534,18.0,16.0,18.0
TATN,ПАО Татнефть,0.0,0.0,0.0,0.0,0.0,0.0
VTBR,Банк ВТБ (ПАО),17.0,17.0,0.564,17.0,12.0,16.0
CHMF,ПАО Северсталь,0.0,0.0,0.0,0.0,0.0,0.0
PLZL,ПАО Полюс,18.0,18.0,0.76,18.0,15.0,5.0
MGNT,ПАО Магнит,16.0,16.0,0.119,16.0,14.0,12.0
ALRS,АК АЛРОСА (ПАО),9.0,9.0,0.562,9.0,9.0,5.0
AFLT,ПАО Аэрофлот,0.0,0.0,0.0,0.0,0.0,0.0
PHOR,ПАО ФосАгро,13.0,9.0,0.482,9.0,10.0,13.0
RUAL,МКПАО ОК РУСАЛ,27.0,27.0,0.902,27.0,0.0,27.0
SNGS,ПАО Сургутнефтегаз,15.0,15.0,0.458,15.0,0.0,15.0
YNDX,Yandex NV,18.0,18.0,0.656,18.0,16.0,18.0
