fold,train_rows,validation_rows,test_rows,macro_f1,weighted_f1,balanced_accuracy,high_recall,high_precision,high_false_negative_rate,ordinal_adjacent_accuracy
1,162,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.2962962962962963
2,216,54,54,0.22921909764015028,0.36113745324271634,0.4749694749694749,1.0,0.027777777777777776,0.0,0.5370370370370371
3,270,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
4,324,54,54,0.05649717514124294,0.015693659761456372,0.3333333333333333,1.0,0.09259259259259259,0.0,0.3888888888888889
5,378,54,54,0.3495350188898576,0.377034292356873,0.3907187820231299,0.43478260869565216,0.7142857142857143,0.5652173913043478,0.7777777777777778
6,432,54,52,0.29005649717514126,0.4555019556714472,0.5238095238095238,0.5,0.782608695652174,0.5,0.75
7,486,52,51,0.3175675675675676,0.3965288818229995,0.38765432098765434,0.9629629629629629,0.5531914893617021,0.037037037037037035,0.9215686274509803
8,538,51,51,0.5167029774872912,0.6485753342731427,0.4766788766788766,0.9428571428571428,0.717391304347826,0.05714285714285714,0.9607843137254902
9,589,51,51,0.7767042404723564,0.7307315840990181,0.7708333333333334,0.875,0.7567567567567568,0.125,1.0
10,640,51,51,0.5396825396825397,0.39140989729225023,0.5783208020050125,0.8421052631578947,0.3902439024390244,0.15789473684210525,0.9803921568627451
11,691,51,51,0.3207941483803553,0.3335177331120536,0.40512265512265516,0.75,0.16666666666666666,0.25,0.6862745098039216
12,742,51,51,0.15465096432838368,0.19912753631918714,0.2611111111111111,0.5,0.030303030303030304,0.5,0.6862745098039216
