architecture,candidate,validation_macro_f1_argmax
baseline_v1,weighted_ensemble_calibrated_policy,0.657317388828493
baseline_v1,weighted_ensemble_argmax,0.657317388828493
baseline_v1,gb,0.63351242925711
baseline_v1,extra,0.6221534075548675
baseline_v1,rf,0.5751937984496124
regime_v1,weighted_ensemble_calibrated_policy,0.6885521885521886
regime_v1,weighted_ensemble_argmax,0.6885521885521886
regime_v1,gb,0.6514938568254975
regime_v1,rf,0.6197005516154452
regime_v1,extra,0.3717592592592593
enriched_v2_without_reports,weighted_ensemble_calibrated_policy,0.6897305684863874
enriched_v2_without_reports,weighted_ensemble_argmax,0.6897305684863874
enriched_v2_without_reports,gb,0.6466049382716049
enriched_v2_without_reports,rf,0.6281746031746032
enriched_v2_without_reports,extra,0.5531078983909173
enriched_v2_with_reports,weighted_ensemble_calibrated_policy,0.7135895080628699
enriched_v2_with_reports,weighted_ensemble_argmax,0.6618751867503309
enriched_v2_with_reports,gb,0.645930964978584
enriched_v2_with_reports,rf,0.5992558894061222
enriched_v2_with_reports,extra,0.38081318097262823
ann_regime_v3,weighted_ensemble_calibrated_policy,0.690311986863711
ann_regime_v3,weighted_ensemble_argmax,0.6611702127659574
ann_regime_v3,rf,0.6300653594771242
ann_regime_v3,gb,0.6237654320987653
ann_regime_v3,extra,0.3824872414719312
