sector,rows,global_macro_f1,expert_macro_f1,gain,selected
real_estate,5,0.19047619047619047,0.5555555555555555,0.365079365079365,False
oil_gas,6,0.16666666666666666,0.5238095238095238,0.3571428571428572,False
telecom,5,0.2962962962962963,0.3333333333333333,0.037037037037037035,False
banks_financials,11,0.31746031746031744,0.31746031746031744,0.0,False
chemicals,6,0.3333333333333333,0.3333333333333333,0.0,False
retail,6,0.16666666666666666,0.16666666666666666,0.0,False
technology,4,0.6,0.6,0.0,False
transport,6,0.16666666666666666,0.16666666666666666,0.0,False
utilities,6,0.30303030303030304,0.2962962962962963,-0.006734006734006759,False
metals_mining,5,0.35555555555555557,0.3333333333333333,-0.022222222222222254,False
consumer,6,0.5079365079365079,0.2857142857142857,-0.2222222222222222,False
